Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,1.55,2,1.65,1.35,2.2,17.9
2,1.55,2,2,1.8,2.2,17.7
3,1.65,2,2.25,1.9,2.4,17.6
4,1.8,2,2.45,2.1,2.45,17.5
5,2.1,2.1,2.55,2.2,2.6,17.4
6,2.35,2.1,2.65,2.4,2.75,17.2
7,2.65,2.1,2.75,2.5,2.85,17.1
8,3,2.1,2.85,2.6,3,17
9,3.3,2.1,2.95,2.75,3.15,16.9
10,3.55,2.2,3.1,2.9,3.3,16.7
11,3.85,2.2,3.2,3,3.35,16.6
12,4.15,2.2,3.3,3.1,3.45,16.5
13,4.45,2.2,3.4,3.15,3.65,16.3
14,4.7,2.2,3.5,3.25,3.75,16.2
15,4.9,2.2,3.6,3.4,3.95,16.1
16,5.2,2.2,3.7,3.55,4.1,16
17,5.4,2.3,3.8,3.6,4.25,15.9
18,5.6,2.3,3.9,3.8,4.35,15.8
19,5.8,2.3,4.05,3.85,4.45,15.7
20,6.05,2.3,4.15,4,4.55,15.6
21,6.3,2.3,4.25,4.1,4.75,15.5
22,6.5,2.3,4.3,4.2,4.9,15.4
23,6.75,2.3,4.35,4.3,5,15.3
24,6.9,2.3,4.45,4.5,5.15,15.2
25,7.05,2.4,4.6,4.5,5.25,15.1
26,7.3,2.4,4.65,4.7,5.4,15
27,7.6,2.4,4.65,4.75,5.45,14.9
28,7.7,2.5,4.8,4.9,5.65,14.8
29,7.9,2.5,4.95,5,5.75,14.8
30,8.2,2.5,5,5.05,5.95,14.6
31,8.3,2.5,5.1,5.15,6.05,14.5
32,8.45,2.5,5.15,5.25,6.15,14.5
33,8.7,2.5,5.25,5.35,6.3,14.4
34,8.9,2.5,5.3,5.45,6.45,14.2
35,9,2.5,5.5,5.6,6.5,14.1
36,9.15,2.6,5.6,5.7,6.7,14
37,9.35,2.6,5.65,5.8,6.8,13.9
38,9.55,2.6,5.7,5.85,6.95,13.7
39,9.65,2.6,5.8,5.9,7.05,13.6
40,9.85,2.6,5.85,6,7.15,13.5
41,9.95,2.6,5.9,6.1,7.25,13.4
42,10.15,2.6,5.95,6.25,7.35,13.3
43,10.25,2.6,6.05,6.35,7.5,13.2
44,10.4,2.6,6.2,6.4,7.6,13.2
45,10.6,2.6,6.2,6.45,7.7,13.1
46,10.7,2.6,6.25,6.6,7.8,13
47,10.8,2.7,6.4,6.65,7.9,12.8
48,10.9,2.7,6.4,6.8,8,12.7
49,11.1,2.7,6.5,6.85,8.15,12.7
50,11.2,2.7,6.55,6.95,8.2,12.6
